name,common_name,pattern,location_found,scope,confidence_no_fp,expected_countries,source,exp_url,notes
cl.dns_br_1234,,1.2.3.4,dns,br,10,[],[],https://explorer.ooni.org/measurement/20190612T013439Z_AS17974_XnyS9G0FWELa7uamYqu2zGxaYOQVrFFvlb9KmzbXlChVfY76uV?input=https://www.scruff.com/,"An A record with a 1.2.3.4 reply, this is a common false response to restrict access."
cl.dns_br_allzero,,0.0.0.0,dns,br,10,[],[],https://explorer.ooni.org/measurement/20170214T000041Z_AS5769_GwfnRAZ0NLH0wT56sefg2xc2iB07m354tQ0dA6IIL8mRz1CTXZ?input=http://www.lesbian.org,"A 0.0.0.0 reply, by convention this is a standard way to block access to content with DNS servers"
cl.dns_br_localhost,,127.0.0.1,dns,br,10,[],[],https://explorer.ooni.org/measurement/20160809T002715Z_AS4818_iyzGIP1lTXMuul1n2gqn5KveO8IEHWBprt04tul57KJS7mFutA?input=http://www.mygoodasyou.com,"A localhost reply, by convention this is a standard way to block access to content with DNS servers"
cl.dns_inst_id_sehat_telkomuniversity,,dnssehat.telkomuniversity.ac.id,dns,isp,10,['ID'],['https://telkomuniversity.ac.id/'],https://explorer.ooni.org/measurement/20180315T084438Z_AS133357_LeDGv9wMP20hFNfN2nqsvJxL1vUKOFZ0grMlnMJXACYHkmPLNB?input=http://transsexual.org,"Indonesian University, owned by PT Telekom, but has a seperate filtering system"
cl.dns_isp_au_telstra_block_1,,101.167.166.53,dns,isp,10,['AU'],[''],https://explorer.ooni.org/measurement/20220203T193446Z_webconnectivity_AU_1221_n1_E32NLhLwI1WJYE3p?input=http%3A%2F%2Fthepiratebay.org%2F,AU ISP Telstra Block Page
cl.dns_isp_au_telstra_block_2,,101.167.164.53,dns,isp,10,['AU'],[''],https://explorer.ooni.org/measurement/20220203T193446Z_webconnectivity_AU_1221_n1_E32NLhLwI1WJYE3p?input=http%3A%2F%2Fthepiratebay.org%2F,AU ISP Telstra Block Page
cl.dns_isp_au_tpg_block,,202.136.99.184,dns,isp,10,['AU'],['https://www.lifehacker.com.au/2018/06/how-to-bypass-isp-blocking-of-the-pirate-bay-and-other-torrent-sites-for-free/'],https://explorer.ooni.org/measurement/20220202T100548Z_webconnectivity_AU_7545_n1_jIoirPJjohcYOCvM?input=http%3A%2F%2Fthepiratebay.org%2F,AU ISP TPG Block Page
cl.dns_isp_by_mts,,134.17.0.7,dns,isp,10,['BY'],"['https://www.mts.by/', 'https://explorer.ooni.org/measurement/20200808T195507Z_AS25106_hY9xbufjqUKiqPI5LZJ4IqiwfGMNcaOdrtKnwCaXADPRhSOL8J?input=http://intimby.net/']",,Belarusian ISP block on mobile ISP MTS uses a DNS forward
cl.dns_isp_ca_rogers_tva_telus_block,,67.43.226.22,dns,isp,10,['CA'],[''],https://explorer.ooni.org/measurement/20220203T103332Z_webconnectivity_CA_812_n1_7M7ZYtu8kInk4dU3?input=http%3A%2F%2Fapp.atntvv.cc%2F,CA ISP Rogers Telus and TVA Group joint Block Page
cl.dns_isp_ca_shaw_block,,64.59.135.158,dns,isp,10,['CA'],[''],https://explorer.ooni.org/measurement/20220203T170239Z_webconnectivity_CA_6327_n1_3Qts0KFGq9BAcnb1?input=http%3A%2F%2Fdestv.me%2F,Canadian ISP Shaw blockpage
cl.dns_isp_ca_teksavvy_block,,206.248.146.244,dns,isp,10,['CA'],[''],https://explorer.ooni.org/measurement/20220203T004625Z_webconnectivity_CA_5645_n1_cGktKcvMOwO7Tr20?input=http%3A%2F%2Fapp.atntvv.cc%2F,CA ISP Teksavvy Block Page
cl.dns_isp_id_comnets,,220.247.168.195,dns,isp,10,['ID'],['http://www.iconpln.co.id/'],https://explorer.ooni.org/measurement/20200213T075343Z_AS131111_n3Zv50ZiRaGIm7uCn3IwOIN879EzYbr3OV08aHpZdOIzsk83iT?input=https://www.ilga-europe.org/,Indonesian ISP Icon Comnets+ blockpage.
cl.dns_isp_id_sehat_argon,,103.195.19.54,dns,isp,10,['ID'],['http://www.argon.id/'],https://explorer.ooni.org/measurement/20170501T123218Z_AS17974_TQovh9GvtBR3FlRa5IfIH19tSRfiGUgUzEnGoh5sgdLI1m0OgY?input=http://www.ifge.org,Indonesian ISP Argon (Datacentre) blockpage
cl.dns_isp_id_sehat_bitsnet,,103.19.56.2,dns,isp,10,['ID'],['https://bits.net.id/'],,Indonesian ISP Bitsnet blockpage
cl.dns_isp_id_sehat_biznet,,202.169.44.80,dns,isp,10,['ID'],['https://www.biznetnetworks.com/'],https://explorer.ooni.org/measurement/20171105T072208Z_AS17451_7r3LG7AAcL538QaLjG44o23fmyWhbFiEOWEnbZfDhu1Lfpg6jF?input=http://www.grindr.com/,Indonesian ISP Biznet blockpage
cl.dns_isp_id_sehat_bolt_block,,202.62.29.1,dns,isp,10,['ID'],['https://www.bolt.id/'],https://explorer.ooni.org/measurement/20170213T013637Z_AS4832_Y8ct5af944VzPhrMoeoll3Ap7MtHL97R2JBO0lEHto45vPYwFQ?input=http://www.gayscape.com,Indonesian ISP Bolt
cl.dns_isp_id_sehat_cbn_block,,internetsehataman.cbn.net.id,dns,isp,10,['ID'],['https://cbn.id/'],https://explorer.ooni.org/measurement/20190420T092536Z_AS135478_mLOlXUu4n0QwTV10X6nqZYFwh9aQga4i4fPo9fMomwk2IMV6Le?input=http://transsexual.org/,Indonesian ISP CBN
