,measurement_uid,status,outcome
0,20240821111652.275207_RU_telegram_98b717d97593636f,blocked,blocked
1,0120191024c9bee71f54e22e25cdbb7007cb825c,down.unreachable,down
2,20230306T235817Z_webconnectivity_BR_263087_n1_1rNv0dEaDgiZ9i33,ok,ok
3,20230307235958.642565_FR_webconnectivity_86a528710144d5f2,ok,ok
4,20230308T092114Z_webconnectivity_IR_49100_n1_eo1anF5FIOhWAomo,blocked.blockpage.dns,blocked
5,20230315T022408Z_webconnectivity_KH_131178_n1_c1skknOHGkyIqXuF,blocked,blocked
6,20230315T114404Z_webconnectivity_BR_7738_n1_e0zJX7TbiQHa3TyQ,ok,ok
7,20230318T084015Z_webconnectivity_US_21928_n1_p5G1g3Z2ireXwKUt,blocked.dns.nxdomain,blocked
8,20230319T003935Z_webconnectivity_US_21928_n1_FH6UhDKqX9szXTsj,ok,ok
9,20230322T054150Z_webconnectivity_ID_23693_n1_RT0imyzovPkCTr13,ok,ok
10,20230403T151710Z_webconnectivity_US_36492_n1_fWvZu2SdRRElD8sF,ok,ok
11,20230403T165117Z_dash_US_36492_n1_oF4QhzOz2iokPfub,ok,ok
12,20230409084418.704983_KH_webconnectivity_69ef831610f69fbc,blocked.dns.inconsistent,blocked
13,20230410T120007Z_webconnectivity_ZA_37611_n1_nG62Z3Y6KNMearyg,blocked,blocked
14,20230412091523.463532_KH_webconnectivity_6b3e6ecbbc9fdad2,blocked.dns.inconsistent,blocked
15,20230412T155937Z_httpinvalidrequestline_IR_43395_n1_Am3AwabhuD4a31fM,ok,ok
16,20230412T164843Z_whatsapp_IR_43395_n1_H3JZHGLxMjb8v83C,ok,ok
17,20230419063137.069564_KH_webconnectivity_e0e3dab6adb1028f,blocked.dns.inconsistent,blocked
18,20230420072440.682797_DE_webconnectivity_331a7552d12271a7,ok,ok
19,20230420073441.286822_DE_webconnectivity_34316f607b053ea1,blocked.blockpage.server_side,blocked
20,20230429140933.619104_BR_webconnectivity_113edaf5ace99443,down.unreachable,down
21,20230429140941.131984_BR_telegram_a27473fa15721ef0,ok,ok
22,20230430212622.885474_DE_webconnectivity_8adaea5171f572ef,blocked.tcp,blocked
23,20230506155633.735998_RU_webconnectivity_442c71353fd69a18,blocked.tls,blocked
24,20230506191702.703249_PL_webconnectivity_2da23a91605b3d4f,ok,ok
25,20230506220522.455221_US_ndt_c92cb851b88385fe,ok,ok
26,20230510035712.850382_US_signal_443eeb3410eb0ca8,ok,ok
27,20230515030745.507798_ID_webconnectivity_470fcf34af706e2c,blocked.blockpage.http,blocked
28,20230515030746.580630_ID_webconnectivity_5e0c0f6f064de161,blocked.blockpage.http,blocked
29,20230516074416.471436_PL_signal_b582e139e0b699bc,blocked,blocked
30,20230517123222.672413_ID_webconnectivity_6c0d0ca2cca61a4e,blocked.tls,blocked
31,20230517201114.814952_ID_webconnectivity_c7935d710ec89fca,down.unreachable,down
32,20230517231719.447051_ID_webconnectivity_ae13e1073176aadb,ok,ok
33,20230519002627.334335_PL_dash_d8a74bccd1068817,ok,ok
34,20230519180717.920154_ID_webconnectivity_c76cd0d960b9cfd2,blocked.tls,blocked
35,20230520021738.805431_ID_webconnectivity_0b7bf0916f2fdbcc,ok,ok
36,20230520030722.467868_ID_webconnectivity_0d116ce9b67e184f,blocked.tls,blocked
37,20230520111939.142984_ID_webconnectivity_2c5d6f411621e6c6,blocked.tcp,blocked
38,20230522003622.046162_ID_webconnectivity_173196a9a800a699,ok,ok
39,20230522125344.729274_ID_webconnectivity_efc9fc06ac6ad40a,blocked.tls,blocked
40,20230522135356.571879_ID_webconnectivity_0fa855ea15750a87,blocked.tls,blocked
41,20230522153503.205720_ID_webconnectivity_98bcdf8384d4a24a,blocked.tcp,blocked
42,20230523050653.014355_ID_webconnectivity_25db919447af02b9,blocked.tcp,blocked
43,20230523050923.996721_ID_webconnectivity_49494b9099e0e4a2,blocked.tls,blocked
44,20230523095435.664438_ID_webconnectivity_e1b624f668831385,blocked.blockpage.dns,blocked
